iter	Passed	Remaining
0	1	111
1	2	106
2	3	106
3	4	98
4	4	94
5	5	92
6	6	88
7	7	87
8	8	86
9	9	84
10	10	85
11	12	88
12	13	89
13	14	89
14	15	89
15	16	87
16	17	86
17	18	85
18	19	83
19	20	82
20	21	80
21	22	78
22	23	77
23	23	75
24	24	74
25	25	73
26	27	74
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	43
55	54	42
56	55	41
57	56	40
58	57	40
59	58	39
60	59	38
61	60	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	65	29
69	67	28
70	68	27
71	68	26
72	69	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	20
78	75	20
79	76	19
80	76	18
81	77	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	82	11
88	83	10
89	84	9
90	85	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	92	1
98	93	0
99	94	0
