iter	Passed	Remaining
0	163	163188
1	164	82137
2	165	54945
3	166	41392
4	167	33309
5	167	27825
6	168	23897
7	170	21139
8	171	18862
9	171	17012
10	172	15497
11	174	14406
12	175	13353
13	176	12442
14	178	11698
15	178	10996
16	179	10394
17	180	9853
18	181	9366
19	182	8927
20	183	8551
21	184	8212
22	185	7883
23	186	7573
24	186	7284
25	187	7017
26	187	6770
27	190	6604
28	192	6442
29	193	6270
30	194	6082
31	195	5908
32	195	5740
33	196	5585
34	197	5438
35	197	5297
36	198	5172
37	200	5067
38	200	4946
39	201	4832
40	201	4720
41	202	4614
42	202	4513
43	203	4416
44	206	4386
45	208	4316
46	208	4230
47	209	4148
48	210	4084
49	211	4017
50	212	3958
51	213	3894
52	214	3832
53	215	3768
54	215	3705
55	216	3644
56	216	3584
57	217	3526
58	217	3470
59	218	3418
60	218	3367
61	219	3326
62	222	3305
63	222	3258
64	223	3212
65	223	3167
66	224	3122
67	224	3079
68	225	3043
69	226	3003
70	226	2965
71	227	2932
72	228	2899
73	228	2864
74	229	2833
75	230	2802
76	231	2772
77	231	2739
78	233	2717
79	234	2692
80	236	2680
81	237	2656
82	237	2625
83	238	2599
84	240	2592
85	241	2570
86	242	2544
87	243	2518
88	244	2498
89	244	2475
90	245	2451
91	245	2427
92	247	2418
93	252	2432
94	254	2421
95	256	2415
96	260	2428
97	263	2422
98	266	2423
99	267	2407
100	268	2391
101	270	2381
102	271	2362
103	271	2342
104	272	2323
105	273	2306
106	274	2287
107	274	2269
108	275	2252
109	276	2239
110	277	2223
111	278	2210
112	281	2207
113	284	2209
114	286	2202
115	287	2187
116	287	2169
117	288	2153
118	288	2136
119	289	2120
120	289	2104
121	292	2102
122	293	2090
123	294	2077
124	299	2098
125	301	2089
126	301	2074
127	302	2062
128	304	2054
129	305	2044
130	306	2034
131	307	2021
132	308	2008
133	308	1994
134	309	1981
135	309	1967
136	313	1974
137	314	1963
138	315	1952
139	315	1941
140	316	1928
141	316	1914
142	317	1903
143	318	1891
144	318	1879
145	319	1868
146	320	1857
147	320	1846
148	321	1835
149	322	1825
150	322	1814
151	323	1803
152	323	1792
153	324	1782
154	328	1790
155	329	1783
156	330	1774
157	331	1764
158	331	1754
159	332	1744
160	332	1733
161	333	1723
162	333	1714
163	334	1705
164	335	1697
165	336	1688
166	336	1679
167	337	1670
168	337	1661
169	339	1656
170	342	1662
171	344	1658
172	345	1652
173	347	1648
174	348	1641
175	348	1633
176	349	1625
177	350	1617
178	350	1609
179	351	1601
180	352	1593
181	353	1587
182	354	1581
183	354	1573
184	355	1567
185	360	1579
186	361	1573
187	362	1566
188	363	1560
189	364	1554
190	365	1548
191	366	1542
192	367	1535
193	367	1528
194	368	1521
195	369	1514
196	369	1507
197	370	1500
198	371	1496
199	373	1494
200	374	1488
201	375	1482
202	375	1475
203	376	1469
204	377	1462
205	377	1456
206	378	1450
207	379	1444
208	379	1437
209	380	1431
210	381	1424
211	381	1418
212	382	1412
213	382	1405
